run,detection_seconds,recovery_seconds
1,2.0266464600008476,1.993630644001314
2,1.1316551200015965,2.004965510999682
3,1.1284985020010936,1.9773433899990778
4,1.108727026001361,1.9948258880012872
5,1.1179799380006443,1.997643145999973
6,1.1058842889997322,1.9888306010016095
7,1.113019106000138,1.9836602850009513
8,1.1058847370004514,2.002488974998414
9,1.1187170109988074,1.9979479529993114
10,1.1214747369995166,1.99276422299954
11,1.1169186280003487,1.9952184180001495
12,1.1131683029998385,2.0003799140013143
13,1.1121392580007523,1.9947642909992283
14,1.120145394001156,1.992531111000062
15,1.1195375099996454,1.9937253249991045
16,0.8189406999990752,1.9951682870014338
17,1.1142512659989734,1.9947450700001355
18,1.1310864180013596,1.995113382999989
19,1.1214373700004217,1.995748575000107
20,1.1330492180004512,1.987406706000911
1,1.4625739729999623,2.0095948390007834
2,0.8220603690006101,2.0144835550008793
3,1.119324301999768,2.0123656139994637
4,1.1212759990003178,2.005570356000135
5,1.1472406290004074,2.0076612390002992
6,1.1299397419998058,2.0020755510004165
7,1.1460298069996497,2.0023774510000294
8,1.1122337650003828,2.0018468970001777
9,0.8149180339996747,2.0056465440002285
10,1.1385002309998526,2.0055226049998964
11,1.1172938150002665,2.0148345110001173
12,1.1233804480007166,2.027684799999406
13,1.122724756000025,2.005960129000414
14,1.149459530999593,2.0050301999999647
15,0.8497032719997151,2.031673504000537
16,1.119629943000291,1.996872500999416
17,1.141165385000022,2.0010179800001424
18,1.132178971999565,2.012848834000579
19,1.1311599370001204,2.0095750190002946
20,1.1046819129996948,1.997291167000185
