run,oom_killed,restart_count,time_to_oom_seconds,peak_mem_mb,requests_before_failure,note
1,True,1,11.069824209998842,135.7,5,
2,True,1,11.070450126999276,135.5,5,
3,True,1,11.070589340999504,135.4,5,
4,True,1,11.072962005999216,135.7,5,
5,True,1,11.068508192000081,135.6,5,
6,True,1,11.069806497000172,135.7,5,
7,True,1,11.06916593599999,135.6,5,
8,True,1,11.068739438000193,135.7,5,
9,True,1,11.073964010000054,135.2,5,
10,True,1,11.070360449999498,135.4,5,
11,True,1,11.06752403000064,135.5,5,
12,True,1,11.073074185000223,135.4,5,
13,True,1,11.067209222999736,135.7,5,
14,True,1,11.067493545000616,135.7,5,
15,True,1,11.070886375000555,135.4,5,
16,True,1,11.069204379999064,135.4,5,
17,True,1,11.07273199500014,135.5,5,
18,True,1,21.3222128769994,135.4,10,
19,True,1,11.07898940800078,135.9,5,
20,True,1,11.070806749999974,135.4,5,
1,False,0,0.674559914999918,0.0,1,
2,False,0,0.041650151999419904,0.0,1,
3,False,0,0.04297167300046567,0.0,1,
4,True,0,12.28484649300026,136.2,5,
5,True,1,12.676743031000115,137.7,5,
6,True,1,13.682100868999441,148.1,5,
7,True,1,14.732116422999752,137.2,5,
8,True,0,10.966007784000794,136.4,5,
9,True,1,13.41240592000031,148.1,5,
10,True,1,12.697605108999596,137.5,5,
11,True,1,13.691010783999445,137.5,5,
12,True,1,13.806876652000028,148.2,5,
13,True,1,11.570886165999582,136.8,5,
14,True,1,11.069392503000017,137.6,5,
15,True,1,11.068271406000349,137.7,5,
16,True,1,11.075309680999453,137.4,5,
17,True,1,11.068586121999942,137.9,5,
18,True,1,11.068851039999572,137.5,5,
19,True,1,11.06776277300014,136.7,5,
20,True,1,11.067207224999947,138.3,5,
1,True,1,11.116314251999938,135.9,5,
2,True,1,11.113628521999999,136.7,5,
3,True,1,11.117117312999653,135.9,5,
4,True,1,11.11785177999991,136.3,5,
5,True,1,11.114857923999807,136.9,5,
6,True,1,11.117965491000177,136.2,5,
7,True,1,11.120030439000402,136.4,5,
8,True,1,11.111666728000273,135.9,5,
9,True,1,11.113331943000048,136.4,5,
10,True,1,11.116961589000312,135.9,5,
11,True,1,11.12830225200014,136.4,5,
12,True,1,11.116879205999794,136.6,5,
13,True,1,11.10766458299986,136.3,5,
14,True,1,11.11158208300003,136.6,5,
15,True,1,11.110015889999886,136.7,5,
16,True,1,11.10866043399983,136.7,5,
17,True,1,11.108229102000223,136.0,5,
18,True,1,11.110695915999713,136.7,5,
19,True,1,11.113614677999976,135.9,5,
20,True,1,11.133086463999462,136.7,5,
