run,detection_seconds,peak_cpu_percent,detected
1,7.03363522500149,100.41285127035158,True
2,4.523097911998775,100.42474100612655,True
3,7.031259979999959,100.44798569593164,True
4,8.538782153000284,100.64302651566956,True
5,18.579074772998865,100.54044941342124,True
6,5.5261249619998125,100.42019487554603,True
7,3.517413061001207,100.50905391707194,True
8,2.013405559999228,71.44427442343236,True
9,10.045920810998723,100.4001993520764,True
10,4.524574530998507,98.4100396309113,True
11,5.525933308999811,100.22634196408791,True
12,4.020422573999895,100.37738517994804,True
13,4.018790751999404,100.58360834757171,True
14,4.020442084000024,100.52551930750468,True
15,5.026178133999565,100.00308944158304,True
16,1.509560340000462,91.82827119748308,True
17,2.0125775069991505,100.17057082507851,True
18,7.536842053999862,100.52062058925341,True
19,2.51275029899989,63.35066920112341,True
20,5.52520840500074,100.52321546175978,True
1,3.0206486140004927,101.49394594059673,True
2,3.5196280379996097,97.46949567566577,True
3,4.5263438460006,99.68134668206375,True
4,,35.24871610144722,False
5,,35.24871610144722,False
6,,35.24871610144722,False
7,,35.24871610144722,False
8,,0.0,False
9,,0.0,False
10,,0.0,False
11,,0.0,False
12,,0.0,False
13,,0.0,False
14,,0.0,False
15,,0.0,False
16,,0.0,False
17,,0.0,False
18,,0.0,False
19,,0.0,False
20,,0.0,False
1,2.517264293000153,97.72626844691064,True
2,2.014382409999598,91.46189328153625,True
3,4.0243480649996854,101.04385773598482,True
4,3.0197017129994492,101.45202845384154,True
5,2.516371972000343,101.33185098200428,True
6,2.5177085590003117,101.11999913804858,True
7,2.518045095999696,101.15549590706705,True
8,2.517280586000197,101.57789796557846,True
9,3.5218072600000596,101.5497844943921,True
10,2.519644856999548,101.21188610807779,True
11,2.01512911699956,76.84479547293827,True
12,2.0146888500003115,101.09969466506863,True
13,3.0190588280001975,101.4294726162565,True
14,2.5188512439999613,101.14705732902758,True
15,3.020504773000539,101.49557922452448,True
16,2.5202764750001734,101.48494303689912,True
17,1.512777303000803,101.21979885112273,True
18,2.5177935279998565,101.68171136038613,True
19,2.516898374000448,101.50697637364341,True
20,3.521316774999832,101.14328407547366,True
